x,y
-119.4624178,49.88186464
-119.4623483,49.88186408
-119.4622787,49.88186352
-119.4622091,49.88186314
-119.4621396,49.88186318
-119.46207,49.88186323
-119.4620004,49.88186327
-119.4619309,49.88186331
-119.4618613,49.88186335
-119.4617917,49.8818634
-119.4617221,49.88186344
-119.4616526,49.88186348
-119.461583,49.88186352
-119.4615134,49.88186357
-119.4614439,49.88186361
-119.4613743,49.88186365
-119.4613047,49.88186369
-119.4612352,49.88186374
-119.4611656,49.88186378
-119.461096,49.88186382
-119.4610264,49.88186386
-119.4609569,49.88186391
-119.4608873,49.88186395
-119.4608177,49.88186399
-119.4607482,49.88186403
-119.4606786,49.88186407
-119.460609,49.88186412
-119.4605395,49.88186416
-119.4604699,49.8818642
-119.4604003,49.88186424
-119.4603307,49.88186428
-119.4602612,49.88186432
-119.4601916,49.88186437
-119.460122,49.88186441
-119.4600525,49.88186445
-119.4599829,49.88186449
-119.4599133,49.88186454
-119.4598438,49.88186459
-119.4597742,49.88186465
-119.4597046,49.88186471
-119.4596351,49.88186476
-119.4595655,49.88186482
-119.4594959,49.88186487
-119.4594263,49.88186493
-119.4593568,49.88186498
-119.4592872,49.88186504
-119.4592176,49.88186509
-119.4591481,49.88186515
-119.4590785,49.88186521
-119.4590089,49.88186526
-119.4589394,49.88186532
-119.4588698,49.88186537
-119.4588002,49.88186543
-119.4587306,49.88186548
-119.4586611,49.88186554
-119.4585915,49.88186559
-119.4585219,49.88186565
-119.4584524,49.8818657
-119.4583828,49.88186576
-119.4583132,49.88186581
-119.4582437,49.88186587
-119.4581741,49.881866
-119.4581045,49.88186622
-119.4580349,49.88186645
-119.4579654,49.88186668
-119.4578958,49.8818669
-119.4578262,49.88186713
-119.4577567,49.88186735
-119.4576871,49.88186758
-119.4576175,49.88186781
-119.457548,49.88186803
-119.4574784,49.88186826
-119.4574088,49.88186848
-119.4573393,49.88186871
-119.4572697,49.88186894
-119.4572001,49.88186916
-119.4571305,49.88186939
-119.457061,49.88186961
-119.4569914,49.88186984
-119.4569218,49.88187006
-119.4568523,49.88187029
-119.4567827,49.88187052
-119.4567131,49.88187074
-119.4566436,49.88187097
-119.456574,49.88187119
-119.4565044,49.88187142
-119.4564349,49.88187164
-119.4563653,49.88187187
-119.4562957,49.88187209
-119.4562261,49.88187232
-119.4561566,49.88187254
-119.456087,49.88187277
-119.4560174,49.88187299
-119.4559479,49.88187322
-119.4558783,49.88187344
-119.4558087,49.88187367
-119.4557392,49.88187389
-119.4556696,49.88187412
-119.4556,49.88187434
-119.4555305,49.88187457
-119.4554609,49.88187479
-119.4553913,49.88187502
-119.4553217,49.88187524
-119.4552522,49.88187547
-119.4551826,49.88187569
-119.455113,49.88187591
-119.4550435,49.88187614
-119.4549739,49.88187636
-119.4549043,49.88187659
-119.4548348,49.88187681
-119.4547652,49.88187704
-119.4546956,49.88187726
-119.4546261,49.88187731
-119.4545565,49.88187716
-119.4544869,49.88187702
-119.4544173,49.88187679
-119.4543478,49.88187656
-119.4542782,49.88187633
-119.4542086,49.8818761
-119.4541391,49.88187587
-119.4540695,49.88187564
-119.4539999,49.88187541
-119.4539304,49.88187518
-119.4538608,49.88187495
-119.4537912,49.88187472
-119.4537217,49.88187449
-119.4536521,49.88187426
-119.4535825,49.88187403
-119.4535129,49.8818738
-119.4534434,49.88187357
-119.4533738,49.88187334
-119.4533042,49.8818731
-119.4532347,49.88187287
-119.4531651,49.88187264
